Model,Hit,NDCG,Coverage
Random,0.0026097271648873074,0.0016011853968736407,1.0
MostPopular,0.02586002372479241,0.013514711242229995,0.0067472589260612875
PureSVD 0.81d 0.00α 34k,0.058837485172004746,0.028235168399447837,0.15012651110486364
HybridSVD Category 0.48d 0.16α 36k,0.06026097271648873,0.030802967233866985,0.2358729266235592
HybridSVD Description 0.62d 0.03α 30k,0.06168446026097272,0.030203727120674345,0.17627213944335113
HybridSVD Geolocation 0.32d 0.26α 54k,0.06453143534994069,0.0319563982684365,0.3795333145909474
